survived,class,sex,age,sib_sp,parch,fare,deck,cabin_number,embarked,set
1,1,1,30,0,0,106.425,NA,NA,C,train
0,3,0,NA,0,0,14.5,NA,NA,S,train
1,1,1,22,0,2,49.5,B,9,C,train
1,1,1,36,0,2,71,B,2,S,train
0,3,1,9,4,2,31.275,NA,NA,S,train
0,3,1,11,4,2,31.275,NA,NA,S,train
1,2,0,32,1,0,26,NA,NA,S,train
0,1,0,50,1,0,106.425,C,6,C,train
0,1,0,64,0,0,26,NA,NA,S,train
1,2,1,19,1,0,26,NA,NA,S,train
1,2,0,NA,0,0,13.8625,NA,NA,C,train
0,3,0,33,1,1,20.525,NA,NA,S,train
1,2,0,8,1,1,36.75,NA,NA,S,train
1,1,0,17,0,2,110.8833,C,0,C,train
0,2,0,27,0,0,26,NA,NA,S,train
0,3,0,NA,0,0,7.8292,NA,NA,Q,train
1,3,0,22,0,0,7.225,NA,NA,C,train
1,3,1,22,0,0,7.775,NA,NA,S,train
0,1,0,62,0,0,26.55,NA,NA,S,train
1,1,1,48,1,0,39.6,A,6,C,train
0,1,0,NA,0,0,227.525,NA,NA,C,train
1,1,1,39,1,1,79.65,E,7,S,train
1,3,1,36,1,0,17.4,NA,NA,S,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
0,3,0,40,0,0,7.8958,NA,NA,S,train
0,2,0,28,0,0,13.5,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,3,1,NA,0,0,8.05,NA,NA,S,train
0,3,0,24,2,0,24.15,NA,NA,S,train
0,3,0,19,0,0,7.8958,NA,NA,S,train
0,3,1,29,0,4,21.075,NA,NA,S,train
0,3,0,NA,0,0,7.2292,NA,NA,C,train
1,3,0,32,0,0,7.8542,NA,NA,S,train
1,2,0,62,0,0,10.5,NA,NA,S,train
1,1,1,53,2,0,51.4792,C,1,S,train
1,1,0,36,0,0,26.3875,E,5,S,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,3,0,16,0,0,8.05,NA,NA,S,train
0,3,0,19,0,0,14.5,NA,NA,S,train
1,2,1,34,0,0,13,NA,NA,S,train
1,1,1,39,1,0,55.9,E,4,S,train
0,3,1,NA,1,0,14.4583,NA,NA,C,train
1,3,0,32,0,0,7.925,NA,NA,S,train
1,2,1,25,1,1,30,NA,NA,S,train
1,1,1,39,1,1,110.8833,C,8,C,train
0,2,0,54,0,0,26,NA,NA,S,train
0,1,0,36,0,0,40.125,A,0,C,train
0,3,0,NA,0,0,8.7125,NA,NA,C,train
1,1,1,18,0,2,79.65,E,8,S,train
0,2,0,47,0,0,15,NA,NA,S,train
1,1,0,60,1,1,79.2,B,1,C,train
0,3,0,22,0,0,8.05,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,3,0,35,0,0,7.125,NA,NA,S,train
1,1,1,52,1,0,78.2667,D,0,C,train
0,3,0,47,0,0,7.25,NA,NA,S,train
0,3,1,NA,0,2,7.75,NA,NA,Q,train
0,2,0,37,1,0,26,NA,NA,S,train
0,3,0,36,1,1,24.15,NA,NA,S,train
1,2,1,NA,0,0,33,NA,NA,S,train
0,3,0,49,0,0,0,NA,NA,S,train
0,3,0,NA,0,0,7.225,NA,NA,C,train
1,1,0,49,1,0,56.9292,A,0,C,train
1,2,1,24,2,1,27,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,1,0,NA,0,0,42.4,NA,NA,S,train
0,3,0,44,0,0,8.05,NA,NA,S,train
1,1,0,35,0,0,26.55,NA,NA,C,train
0,3,0,36,1,0,15.55,NA,NA,S,train
0,3,0,30,0,0,7.8958,NA,NA,S,train
1,1,0,27,0,0,30.5,NA,NA,S,train
1,2,1,22,1,2,41.5792,NA,NA,C,train
1,1,1,40,0,0,153.4625,C,5,S,train
0,3,1,39,1,5,31.275,NA,NA,S,train
0,3,0,NA,0,0,7.05,NA,NA,S,train
1,3,1,NA,1,0,15.5,NA,NA,Q,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
0,3,0,35,0,0,8.05,NA,NA,S,train
1,2,1,24,1,2,65,NA,NA,S,train
0,3,0,34,1,1,14.4,NA,NA,S,train
0,3,1,26,1,0,16.1,NA,NA,S,train
1,2,1,4,2,1,39,F,4,S,train
0,2,0,26,0,0,10.5,NA,NA,S,train
0,3,0,27,1,0,14.4542,NA,NA,C,train
1,1,0,42,1,0,52.5542,D,9,S,train
1,3,0,20,1,1,15.7417,NA,NA,C,train
0,3,0,21,0,0,7.8542,NA,NA,S,train
0,3,0,21,0,0,16.1,NA,NA,S,train
0,1,0,61,0,0,32.3208,D,0,S,train
0,2,0,57,0,0,12.35,NA,NA,Q,train
1,1,1,21,0,0,77.9583,D,9,S,train
0,3,0,26,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,7.7333,NA,NA,Q,train
1,1,0,80,0,0,30,A,3,S,train
0,3,0,51,0,0,7.0542,NA,NA,S,train
1,1,0,32,0,0,30.5,B,0,C,train
0,1,0,NA,0,0,0,NA,NA,S,train
0,3,1,9,3,2,27.9,NA,NA,S,train
1,2,1,28,0,0,13,NA,NA,S,train
0,3,0,32,0,0,7.925,NA,NA,S,train
0,2,0,31,1,1,26.25,NA,NA,S,train
0,3,1,41,0,5,39.6875,NA,NA,S,train
0,3,0,NA,1,0,16.1,NA,NA,S,train
0,3,0,20,0,0,7.8542,NA,NA,S,train
1,1,1,24,0,0,69.3,B,5,C,train
0,3,1,2,3,2,27.9,NA,NA,S,train
1,3,0,NA,0,0,56.4958,NA,NA,S,train
1,3,1,0.75,2,1,19.2583,NA,NA,C,train
1,1,0,48,1,0,76.7292,D,3,C,train
0,3,0,19,0,0,7.8958,NA,NA,S,train
1,1,0,56,0,0,35.5,A,6,C,train
0,3,0,NA,0,0,7.55,NA,NA,S,train
1,3,1,23,0,0,7.55,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
1,2,1,18,0,1,23,NA,NA,S,train
0,3,0,21,0,0,8.4333,NA,NA,S,train
1,3,1,NA,0,0,7.8292,NA,NA,Q,train
0,3,1,18,0,0,6.75,NA,NA,Q,train
0,2,0,24,2,0,73.5,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,3,1,32,1,1,15.5,NA,NA,Q,train
0,2,0,23,0,0,13,NA,NA,S,train
0,1,0,58,0,2,113.275,D,8,C,train
1,1,0,50,2,0,133.65,NA,NA,S,train
0,3,0,40,0,0,7.225,NA,NA,C,train
0,1,0,47,0,0,25.5875,E,8,S,train
0,3,0,36,0,0,7.4958,NA,NA,S,train
1,3,0,20,1,0,7.925,NA,NA,S,train
0,2,0,32,2,0,73.5,NA,NA,S,train
0,2,0,25,0,0,13,NA,NA,S,train
0,3,0,NA,0,0,7.775,NA,NA,S,train
0,3,0,43,0,0,8.05,NA,NA,S,train
1,1,1,NA,1,0,52,C,6,S,train
1,2,1,40,1,1,39,NA,NA,S,train
0,1,0,31,1,0,52,B,1,S,train
0,2,0,70,0,0,10.5,NA,NA,S,train
1,2,0,31,0,0,13,NA,NA,S,train
0,2,0,NA,0,0,0,NA,NA,S,train
0,3,0,18,0,0,7.775,NA,NA,S,train
0,3,0,24.5,0,0,8.05,NA,NA,S,train
1,3,1,18,0,0,9.8417,NA,NA,S,train
0,3,1,43,1,6,46.9,NA,NA,S,train
1,1,0,36,0,1,512.3292,B,5,C,train
0,3,1,NA,0,0,8.1375,NA,NA,Q,train
1,1,0,27,0,0,76.7292,D,9,C,train
0,3,0,20,0,0,9.225,NA,NA,S,train
0,3,0,14,5,2,46.9,NA,NA,S,train
0,2,0,60,1,1,39,NA,NA,S,train
0,2,0,25,1,2,41.5792,NA,NA,C,train
0,3,0,14,4,1,39.6875,NA,NA,S,train
0,3,0,19,0,0,10.1708,NA,NA,S,train
0,3,0,18,0,0,7.7958,NA,NA,S,train
1,1,1,15,0,1,211.3375,B,5,S,train
1,1,0,31,1,0,57,B,0,S,train
1,3,1,4,0,1,13.4167,NA,NA,C,train
1,3,0,NA,0,0,56.4958,NA,NA,S,train
0,3,0,25,0,0,7.225,NA,NA,C,train
0,1,0,60,0,0,26.55,NA,NA,S,train
0,2,0,52,0,0,13.5,NA,NA,S,train
0,3,0,44,0,0,8.05,NA,NA,S,train
1,3,1,NA,0,0,7.7333,NA,NA,Q,train
0,1,0,49,1,1,110.8833,C,8,C,train
0,3,0,42,0,0,7.65,F,3,S,train
1,1,1,18,1,0,227.525,C,4,C,train
1,1,0,35,0,0,26.2875,E,4,S,train
0,3,1,18,0,1,14.4542,NA,NA,C,train
0,3,0,25,0,0,7.7417,NA,NA,Q,train
0,3,0,26,1,0,7.8542,NA,NA,S,train
0,2,0,39,0,0,26,NA,NA,S,train
1,2,1,45,0,0,13.5,NA,NA,S,train
1,1,0,42,0,0,26.2875,E,4,S,train
1,1,1,22,0,0,151.55,NA,NA,S,train
1,3,0,NA,1,1,15.2458,NA,NA,C,train
1,1,1,24,0,0,49.5042,C,0,C,train
0,1,0,NA,0,0,26.55,C,4,S,train
1,1,0,48,1,0,52,C,6,S,train
0,3,0,29,0,0,9.4833,NA,NA,S,train
0,2,0,52,0,0,13,NA,NA,S,train
0,3,0,19,0,0,7.65,F,3,S,train
1,1,1,38,0,0,227.525,C,5,C,train
1,2,1,27,0,0,10.5,E,1,S,train
0,3,0,NA,0,0,15.5,NA,NA,Q,train
0,3,0,33,0,0,7.775,NA,NA,S,train
1,2,1,6,0,1,33,NA,NA,S,train
0,3,0,17,1,0,7.0542,NA,NA,S,train
0,2,0,34,0,0,13,NA,NA,S,train
0,2,0,50,0,0,13,NA,NA,S,train
1,1,0,27,1,0,53.1,E,8,S,train
0,3,0,20,0,0,8.6625,NA,NA,S,train
1,2,1,30,3,0,21,NA,NA,S,train
1,3,1,NA,0,0,7.7375,NA,NA,Q,train
0,2,0,25,1,0,26,NA,NA,S,train
0,3,1,25,1,0,7.925,NA,NA,S,train
1,1,1,29,0,0,211.3375,B,5,S,train
0,3,0,11,0,0,18.7875,NA,NA,C,train
0,2,0,NA,0,0,0,NA,NA,S,train
0,2,0,23,0,0,13,NA,NA,S,train
0,2,0,23,0,0,13,NA,NA,S,train
0,3,0,28.5,0,0,16.1,NA,NA,S,train
0,3,1,48,1,3,34.375,NA,NA,S,train
1,1,0,35,0,0,512.3292,B,1,C,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
1,1,0,NA,0,0,30,D,5,S,train
0,1,0,36,1,0,78.85,C,6,S,train
1,1,1,21,2,2,262.375,B,6,C,train
0,3,0,24,1,0,16.1,NA,NA,S,train
1,3,0,31,0,0,7.925,NA,NA,S,train
0,1,0,70,1,1,71,B,2,S,train
0,3,0,16,1,1,20.25,NA,NA,S,train
1,2,1,30,0,0,13,NA,NA,S,train
0,1,0,19,1,0,53.1,D,0,S,train
0,3,0,31,0,0,7.75,NA,NA,Q,train
1,2,1,4,1,1,23,NA,NA,S,train
1,3,0,6,0,1,12.475,E,1,S,train
0,3,0,33,0,0,9.5,NA,NA,S,train
0,3,0,23,0,0,7.8958,NA,NA,S,train
1,2,1,48,1,2,65,NA,NA,S,train
1,2,0,0.67,1,1,14.5,NA,NA,S,train
0,3,0,28,0,0,7.7958,NA,NA,S,train
0,2,0,18,0,0,11.5,NA,NA,S,train
0,3,0,34,0,0,8.05,NA,NA,S,train
1,1,1,33,0,0,86.5,B,7,S,train
0,3,0,NA,0,0,14.5,NA,NA,S,train
0,3,0,41,0,0,7.125,NA,NA,S,train
1,3,0,20,0,0,7.2292,NA,NA,C,train
1,1,1,36,1,2,120,B,8,S,train
0,3,0,16,0,0,7.775,NA,NA,S,train
1,1,1,51,1,0,77.9583,D,1,S,train
0,1,0,NA,0,0,39.6,NA,NA,C,train
0,3,1,30.5,0,0,7.75,NA,NA,Q,train
0,3,0,NA,1,0,24.15,NA,NA,Q,train
0,3,0,32,0,0,8.3625,NA,NA,S,train
0,3,0,24,0,0,9.5,NA,NA,S,train
0,3,0,48,0,0,7.8542,NA,NA,S,train
0,2,1,57,0,0,10.5,E,7,S,train
0,3,0,NA,0,0,7.225,NA,NA,C,train
1,2,1,54,1,3,23,NA,NA,S,train
0,3,0,18,0,0,7.75,NA,NA,S,train
0,3,0,NA,0,0,7.75,F,8,Q,train
1,3,1,5,0,0,12.475,NA,NA,S,train
0,3,0,NA,0,0,7.7375,NA,NA,Q,train
1,1,1,43,0,1,211.3375,B,3,S,train
1,3,1,13,0,0,7.2292,NA,NA,C,train
1,1,1,17,1,0,57,B,0,S,train
0,1,0,29,0,0,30,D,6,S,train
0,3,0,NA,1,2,23.45,NA,NA,S,train
0,3,0,25,0,0,7.05,NA,NA,S,train
0,3,0,25,0,0,7.25,NA,NA,S,train
1,3,1,18,0,0,7.4958,NA,NA,S,train
0,3,0,8,4,1,29.125,NA,NA,Q,train
1,3,0,1,1,2,20.575,NA,NA,S,train
0,1,0,46,0,0,79.2,B,4,C,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
0,2,0,16,0,0,26,NA,NA,S,train
0,3,1,NA,8,2,69.55,NA,NA,S,train
0,1,0,NA,0,0,30.6958,NA,NA,C,train
0,3,0,25,0,0,7.8958,NA,NA,S,train
0,2,0,39,0,0,13,NA,NA,S,train
1,1,1,49,0,0,25.9292,D,7,S,train
1,3,1,31,0,0,8.6833,NA,NA,S,train
0,3,0,30,0,0,7.2292,NA,NA,C,train
0,3,1,30,1,1,24.15,NA,NA,S,train
0,2,0,34,0,0,13,NA,NA,S,train
1,2,1,31,1,1,26.25,NA,NA,S,train
1,1,0,11,1,2,120,B,8,S,train
1,3,0,0.42,0,1,8.5167,NA,NA,C,train
1,3,0,27,0,0,6.975,NA,NA,S,train
0,3,0,31,0,0,7.775,NA,NA,S,train
0,1,0,39,0,0,0,A,6,S,train
0,3,1,18,0,0,7.775,NA,NA,S,train
0,2,0,39,0,0,13,NA,NA,S,train
1,1,1,33,1,0,53.1,E,8,S,train
0,3,0,26,0,0,7.8875,NA,NA,S,train
0,3,0,39,0,0,24.15,NA,NA,S,train
0,2,0,35,0,0,10.5,NA,NA,S,train
0,3,1,6,4,2,31.275,NA,NA,S,train
0,3,0,30.5,0,0,8.05,NA,NA,S,train
0,1,0,NA,0,0,0,B,2,S,train
0,3,1,23,0,0,7.925,NA,NA,S,train
0,2,0,31,1,1,37.0042,NA,NA,C,train
0,3,0,43,0,0,6.45,NA,NA,S,train
0,3,0,10,3,2,27.9,NA,NA,S,train
1,1,1,52,1,1,93.5,B,9,S,train
1,3,0,27,0,0,8.6625,NA,NA,S,train
0,1,0,38,0,0,0,NA,NA,S,train
1,3,1,27,0,1,12.475,E,1,S,train
0,3,0,2,4,1,39.6875,NA,NA,S,train
0,3,0,NA,0,0,6.95,NA,NA,Q,train
0,3,0,NA,0,0,56.4958,NA,NA,S,train
1,2,0,1,0,2,37.0042,NA,NA,C,train
1,3,0,NA,0,0,7.75,NA,NA,Q,train
1,1,1,62,0,0,80,B,8,NA,train
1,3,1,15,1,0,14.4542,NA,NA,C,train
1,2,0,0.83,1,1,18.75,NA,NA,S,train
0,3,0,NA,0,0,7.2292,NA,NA,C,train
0,3,0,23,0,0,7.8542,NA,NA,S,train
0,3,0,18,0,0,8.3,NA,NA,S,train
1,1,1,39,1,1,83.1583,E,9,C,train
0,3,0,21,0,0,8.6625,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
1,3,0,32,0,0,56.4958,NA,NA,S,train
1,1,0,NA,0,0,29.7,C,7,C,train
0,3,0,20,0,0,7.925,NA,NA,S,train
0,2,0,16,0,0,10.5,NA,NA,S,train
1,1,1,30,0,0,31,NA,NA,C,train
0,3,0,34.5,0,0,6.4375,NA,NA,C,train
0,3,0,17,0,0,8.6625,NA,NA,S,train
0,3,0,42,0,0,7.55,NA,NA,S,train
0,3,0,NA,8,2,69.55,NA,NA,S,train
0,3,0,35,0,0,7.8958,NA,NA,C,train
0,2,0,28,0,1,33,NA,NA,S,train
1,1,1,NA,1,0,89.1042,C,2,C,train
0,3,0,4,4,2,31.275,NA,NA,S,train
0,3,0,74,0,0,7.775,NA,NA,S,train
0,3,1,9,1,1,15.2458,NA,NA,C,train
1,1,1,16,0,1,39.4,D,8,S,train
0,2,1,44,1,0,26,NA,NA,S,train
1,3,1,18,0,1,9.35,NA,NA,S,train
1,1,1,45,1,1,164.8667,NA,NA,S,train
1,1,0,51,0,0,26.55,E,7,S,train
1,3,1,24,0,3,19.2583,NA,NA,C,train
0,3,0,NA,0,0,7.2292,NA,NA,C,train
0,3,0,41,2,0,14.1083,NA,NA,S,train
0,2,0,21,1,0,11.5,NA,NA,S,train
1,1,1,48,0,0,25.9292,D,7,S,train
0,3,1,NA,8,2,69.55,NA,NA,S,train
0,2,0,24,0,0,13,NA,NA,S,train
1,2,1,42,0,0,13,NA,NA,S,train
1,2,1,27,1,0,13.8583,NA,NA,C,train
0,1,0,31,0,0,50.4958,A,4,S,train
0,3,0,NA,0,0,9.5,NA,NA,S,train
1,3,0,4,1,1,11.1333,NA,NA,S,train
0,3,0,26,0,0,7.8958,NA,NA,S,train
1,1,1,47,1,1,52.5542,D,5,S,train
0,1,0,33,0,0,5,B,5,S,train
0,3,0,47,0,0,9,NA,NA,S,train
1,2,1,28,1,0,24,NA,NA,C,train
1,3,1,15,0,0,7.225,NA,NA,C,train
0,3,0,20,0,0,9.8458,NA,NA,S,train
0,3,0,19,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
1,1,1,56,0,1,83.1583,C,0,C,train
1,2,1,25,0,1,26,NA,NA,S,train
0,3,0,33,0,0,7.8958,NA,NA,S,train
0,3,1,22,0,0,10.5167,NA,NA,S,train
0,2,0,28,0,0,10.5,NA,NA,S,train
0,3,0,25,0,0,7.05,NA,NA,S,train
0,3,1,39,0,5,29.125,NA,NA,Q,train
0,2,0,27,0,0,13,NA,NA,S,train
1,1,1,19,0,0,30,B,2,S,train
0,3,1,NA,1,2,23.45,NA,NA,S,train
1,1,0,26,0,0,30,C,8,C,train
0,3,0,32,0,0,7.75,NA,NA,Q,train
